company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
201937,농업회사법인(주)행주치마,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,행주치마
325272,(주)아이랑놀기짱,2.7,7,2.7,1.9,3.0,2.4,2.1,2.6,29%,57%,0%,아이랑놀기짱
241549,엠비디자인(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,엠비디자인
406711,(주)뉴파스,5.0,1,5.0,4.0,4.0,5.0,5.0,5.0,0%,100%,100%,뉴파스
39452,대원산업(주),1.9,195,1.9,2.9,1.6,1.6,2.1,1.6,17%,17%,5%,대원산업
339386,(주)마이콤마,2.2,9,2.2,2.0,2.8,2.3,2.6,1.9,11%,33%,0%,마이콤마
212597,경부엔지니어링(주),3.5,2,3.5,3.5,1.5,4.0,3.0,2.0,50%,100%,50%,경부엔지니어링
350145,(주)이펙트코퍼레이션,5.0,1,5.0,1.0,1.0,2.0,1.0,1.0,0%,0%,0%,이펙트코퍼레이션
393657,(주)테크트리,2.8,13,2.8,2.6,3.5,3.2,3.0,2.6,46%,46%,46%,테크트리
357303,대한컨설팅그룹(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대한컨설팅그룹
64288,엔오비즈(주),2.5,15,2.5,2.1,2.7,2.7,2.6,2.2,0%,15%,0%,엔오비즈
83352,녹선,2.4,7,2.4,2.0,1.9,2.4,2.4,2.3,29%,43%,0%,녹선
73089,(주)서린바이오사이언스,2.7,76,2.7,2.6,3.3,2.4,2.6,2.3,36%,53%,18%,서린
448124,(주)정도개발,4.0,1,4.0,3.0,4.0,3.0,2.0,3.0,100%,0%,0%,정도개발
129344,경북교육개발(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,경북교육개발
269956,중앙아스콘(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,중앙아스콘
25895,송우산업(주),2.4,63,2.4,2.8,2.3,2.1,2.3,2.0,14%,40%,6%,송우산업
247340,제이피건설(유),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,제이피건설
142724,(주)창조종합건축사사무소,2.2,104,2.2,2.7,2.0,1.9,2.5,1.6,23%,13%,6%,창조종합건축사사무소
178893,윌로우팜(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,윌로우팜
244215,백마세라믹(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,백마세라믹
336028,(주)티이오커뮤니케이션,2.5,10,2.5,2.3,2.4,3.0,3.0,2.6,10%,60%,30%,티이오
386162,인포스탁데일리(주),3.0,1,3.0,3.0,4.0,3.0,2.0,3.0,0%,0%,0%,인포스탁
431092,(주)프리미어에듀케이션,3.5,2,3.5,3.5,4.0,5.0,4.5,4.5,100%,100%,50%,프리미어에듀케이션
387695,(주)루밍,1.6,27,1.6,1.6,1.9,1.7,1.6,1.4,11%,15%,7%,루밍
157095,미광전기(주),4.0,1,4.0,4.0,3.0,4.0,3.0,3.0,100%,100%,0%,미광전기
236384,더쎄븐파트너스(주),2.6,5,2.6,1.4,1.8,2.4,2.4,2.0,0%,100%,0%,더쎄븐파트너스
39711,대양전기공업(주),3.0,118,3.0,2.9,2.8,2.6,2.7,2.4,44%,52%,22%,대양전기
240248,대화테크(주),1.5,6,1.5,1.3,1.7,1.7,1.7,1.7,17%,17%,17%,대화테크
168335,(주)엘유티,2.6,54,2.6,2.7,2.6,2.1,3.1,2.3,31%,42%,28%,엘유티
83218,(주)누보,2.8,101,2.8,2.7,3.3,2.8,2.7,2.9,32%,56%,32%,누보
130362,인터트레이드앤테크놀로지스코리아(주),3.3,3,3.3,2.7,3.3,2.7,3.3,3.0,67%,67%,67%,인터트레이드앤테크놀로지스코리아
171807,(주)보국전자,2.5,64,2.5,2.0,2.9,2.2,2.4,2.3,23%,37%,6%,보국
341278,(주)텐버즈,3.5,2,3.5,2.5,3.0,5.0,5.0,4.5,50%,100%,50%,텐버즈
80918,휴림로봇(주),2.5,102,2.5,2.2,2.7,2.6,2.5,2.0,11%,25%,7%,디에스티
42498,남양견직(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,남양견직
